Subject,batch_index,batch_size,majority_class,max_class_ratio,normalized_entropy,imbalance,missing_classes,is_single_class,class_0_count,class_0_ratio,class_1_count,class_1_ratio,class_2_count,class_2_ratio
S2,0,120,0,0.9333333333333333,0.2458083168471146,0.7541916831528854,0,0,112,0.9333333333333333,7,0.058333333333333334,1,0.008333333333333333
S2,1,120,0,0.4583333333333333,0.8394416374929575,0.16055836250704247,0,0,55,0.4583333333333333,55,0.4583333333333333,10,0.08333333333333333
S2,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S2,3,64,0,0.34375,0.9997789043424502,0.00022109565754979688,0,0,22,0.34375,21,0.328125,21,0.328125
S3,0,120,0,0.9083333333333333,0.30429478666493337,0.6957052133350666,0,0,109,0.9083333333333333,10,0.08333333333333333,1,0.008333333333333333
S3,1,120,0,0.4583333333333333,0.8519361090751509,0.14806389092484906,0,0,55,0.4583333333333333,54,0.45,11,0.09166666666666666
S3,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S3,3,71,0,0.3380281690140845,0.9998185669049382,0.0001814330950618004,0,0,24,0.3380281690140845,24,0.3380281690140845,23,0.323943661971831
S4,0,120,0,0.9333333333333333,0.2458083168471146,0.7541916831528854,0,0,112,0.9333333333333333,7,0.058333333333333334,1,0.008333333333333333
S4,1,120,0,0.4583333333333333,0.8394416374929575,0.16055836250704247,0,0,55,0.4583333333333333,55,0.4583333333333333,10,0.08333333333333333
S4,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S4,3,74,0,0.33783783783783783,0.9998330124797619,0.00016698752023813768,0,0,25,0.33783783783783783,25,0.33783783783783783,24,0.32432432432432434
S5,0,120,0,0.95,0.2012022858921114,0.7987977141078886,0,0,114,0.95,5,0.041666666666666664,1,0.008333333333333333
S5,1,120,0,0.475,0.796489824980484,0.20351017501951596,0,0,57,0.475,56,0.4666666666666667,7,0.058333333333333334
S5,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S5,3,83,0,0.3373493975903614,0.9998673302829444,0.00013266971705561126,0,0,28,0.3373493975903614,28,0.3373493975903614,27,0.3253012048192771
S6,0,120,0,0.9333333333333333,0.2458083168471146,0.7541916831528854,0,0,112,0.9333333333333333,7,0.058333333333333334,1,0.008333333333333333
S6,1,120,0,0.475,0.796489824980484,0.20351017501951596,0,0,57,0.475,56,0.4666666666666667,7,0.058333333333333334
S6,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S6,3,81,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,27,0.3333333333333333,27,0.3333333333333333,27,0.3333333333333333
S7,0,120,0,0.95,0.2012022858921114,0.7987977141078886,0,0,114,0.95,5,0.041666666666666664,1,0.008333333333333333
S7,1,120,0,0.4666666666666667,0.8118126881672664,0.18818731183273363,0,0,56,0.4666666666666667,56,0.4666666666666667,8,0.06666666666666667
S7,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S7,3,80,0,0.3375,0.9998571712643756,0.000142828735624434,0,0,27,0.3375,27,0.3375,26,0.325
S8,0,120,0,0.9083333333333333,0.30429478666493337,0.6957052133350666,0,0,109,0.9083333333333333,10,0.08333333333333333,1,0.008333333333333333
S8,1,120,0,0.475,0.78007962746967,0.21992037253033003,0,0,57,0.475,57,0.475,6,0.05
S8,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S8,3,82,0,0.34146341463414637,0.9998651686582244,0.00013483134177560974,0,0,28,0.34146341463414637,27,0.32926829268292684,27,0.32926829268292684
S9,0,120,0,0.9416666666666667,0.224173935221282,0.775826064778718,0,0,113,0.9416666666666667,6,0.05,1,0.008333333333333333
S9,1,120,1,0.475,0.796489824980484,0.20351017501951596,0,0,56,0.4666666666666667,57,0.475,7,0.058333333333333334
S9,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S9,3,79,0,0.34177215189873417,0.9998547555563706,0.0001452444436293998,0,0,27,0.34177215189873417,26,0.3291139240506329,26,0.3291139240506329
S10,0,120,0,0.875,0.3708190949690327,0.6291809050309674,0,0,105,0.875,14,0.11666666666666667,1,0.008333333333333333
S10,1,120,0,0.49166666666666664,0.6975716648814403,0.3024283351185597,0,0,59,0.49166666666666664,59,0.49166666666666664,2,0.016666666666666666
S10,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S10,3,96,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,32,0.3333333333333333,32,0.3333333333333333,32,0.3333333333333333
S11,0,120,0,0.9083333333333333,0.30429478666493337,0.6957052133350666,0,0,109,0.9083333333333333,10,0.08333333333333333,1,0.008333333333333333
S11,1,120,0,0.48333333333333334,0.7622662071806661,0.23773379281933393,0,0,58,0.48333333333333334,57,0.475,5,0.041666666666666664
S11,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S11,3,86,0,0.3372093023255814,0.9998764427326268,0.00012355726737323103,0,0,29,0.3372093023255814,29,0.3372093023255814,28,0.32558139534883723
S13,0,120,0,0.925,0.26628763711610554,0.7337123628838944,0,0,111,0.925,8,0.06666666666666667,1,0.008333333333333333
S13,1,120,1,0.475,0.796489824980484,0.20351017501951596,0,0,56,0.4666666666666667,57,0.475,7,0.058333333333333334
S13,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S13,3,85,0,0.3411764705882353,0.9998745007716449,0.0001254992283551415,0,0,29,0.3411764705882353,28,0.32941176470588235,28,0.32941176470588235
S14,0,120,0,0.9166666666666666,0.28574796957657034,0.7142520304234297,0,0,110,0.9166666666666666,9,0.075,1,0.008333333333333333
S14,1,120,1,0.48333333333333334,0.7622662071806661,0.23773379281933393,0,0,57,0.475,58,0.48333333333333334,5,0.041666666666666664
S14,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S14,3,85,0,0.3411764705882353,0.9998745007716449,0.0001254992283551415,0,0,29,0.3411764705882353,28,0.32941176470588235,28,0.32941176470588235
S15,0,120,0,0.9,0.32201221062796337,0.6779877893720366,0,0,108,0.9,11,0.09166666666666666,1,0.008333333333333333
S15,1,120,0,0.48333333333333334,0.7622662071806661,0.23773379281933393,0,0,58,0.48333333333333334,57,0.475,5,0.041666666666666664
S15,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S15,3,87,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,29,0.3333333333333333,29,0.3333333333333333,29,0.3333333333333333
S16,0,120,0,0.9166666666666666,0.28574796957657034,0.7142520304234297,0,0,110,0.9166666666666666,9,0.075,1,0.008333333333333333
S16,1,120,0,0.48333333333333334,0.7622662071806661,0.23773379281933393,0,0,58,0.48333333333333334,57,0.475,5,0.041666666666666664
S16,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S16,3,84,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,28,0.3333333333333333,28,0.3333333333333333,28,0.3333333333333333
S17,0,120,0,0.875,0.3708190949690327,0.6291809050309674,0,0,105,0.875,14,0.11666666666666667,1,0.008333333333333333
S17,1,120,0,0.5,0.6695084571728775,0.33049154282712245,0,0,60,0.5,59,0.49166666666666664,1,0.008333333333333333
S17,2,120,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,40,0.3333333333333333,40,0.3333333333333333,40,0.3333333333333333
S17,3,96,0,0.3333333333333333,0.9999999999999998,2.220446049250313e-16,0,0,32,0.3333333333333333,32,0.3333333333333333,32,0.3333333333333333
